web-scraper-order,web-scraper-start-url,house-link,house-link-href,house-price,house-addr,house-availability,house-size,house-rooms,house-desc,house-baths
1587215468-1400,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=6,,,,,,,,"Elegante Edificio Residencial de 4 pisos, ubicado en la esquina de las Calles Cisnes y Pelícanos, en una zona céntrica y privilegiada, de poco tráfico, frente a ingreso a parque, cerca al corazón financiero de San Isidro, el Metropolitano y otras líneas de movilidad. Con un total de 18 dptos. Modernos, cómodos y funcionales de 1, 2 y 3 dormitorios, desde 90m2 a 224m2, varios con jardines y/o terrazas. Distribución genérica: Living-comedor, 1 a 3 baños, uno incorporado; cocina, lavandería y la mayoría con baño de servicio. Los Pent Houses y los del 1er piso cuentan además con amplias terrazas y/o jardines. Uno o dos estacionamientos en sótano por departamento, tres estacionamientos para visitas y depósitos. Visita dpto. Piloto. Altura de la cdra. 3 de Av. Canaval Moreyra",
1587215529-2125,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=1,,,,,,,,"¡Un nuevo comienzo para ti y tu familia!, Lares San Miguel es un proyecto exclusivo de 8 pisos, con 31 departamentos. Se encuentra ubicado, muy cerca de avenidas principales como la av. Marina y a pocos minutos de zonas comerciales, instituciones educativas y centros de esparcimientos. El proyecto contará con una recepción y un área para parrilla, ambas equipadas y amobladas, en donde los propietarios podrán compartir con familiares y amigos. Visítenos de lunes a domingo de 10: 00 a. M. Hasta las 7: 00 p. M. *Las imágenes, planos y elementos decorativos del edificio son referenciales. Los acabados están sujetos a disponibilidad y variaciones en el mercado, por tanto pueden presentar modificaciones en el transcurso del proyecto. Lo anterior se informa en virtud de lo dispuesto en el Código de Protección y Defensa del Consumidor. Calle Padre Guatemala 254 San Miguel",
1587215456-1215,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=7,,,,,,"120 a 175 
							
							m² techados",,,
1587215395-548,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=12,,,,,,,,,2 Baños
1587215256-140,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=23,,,,,,,,,3 Baños
1587215407-604,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=11,,,,"Arenales 2570, 
								 Lince, Lima",,,,,
1587215492-1573,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=4,Abedul,https://urbania.pe/inmueble/proyecto-abedul-lima-magdalena-abril-grupo-inmobiliario-8003097,,,,,,,
1587215504-1812,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=3,,,,,,,1 a 3 dormitorios,,
1587215468-1404,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=6,,,,,,,,"El proyecto está ubicado en Calle Las Canarias (Ex Morales Duares) 145. Urb: Valle Hermoso de Monterrico - San Borja. Proyecto inmobiliario de 5 niveles, cuenta con 18 modernos departamentos entre 12 flats y 6 dúplex con áreas desde 120 m2 a 225, 84 m2. Además cuenta con ascensor y estacionamientos para bicicletas. Cada hogar tiene una distribución tipo de: 3 dormitorios, sala comedor, cocina lavandería, 3 baños, cuarto y baño de servicio. Es un proyecto que atrapa a primera vista gracias a un acceso a desnivel con un elegante lobby y un salón vip para uso múltiples de sus residentes. Calla Las Canarias 145 Urb. Valle Hermoso de Monterrico",
1587215220-124,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=26,,,,,,,,,3 Baños
1587215492-1671,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=4,,,,,,,1 a 3 dormitorios,,
